Gender,HeadCircumference,ShoulderWidth,ChestWidth,Belly,Waist,Hips,ArmLength,ShoulderToWaist,WaistToKnee,LegLength,TotalHeight,Size
1,40,18,20,18,14,22,22,25,25,22,52,L
1,19,22,17,18,21,25,28,23,25,20,56,M
2,21,18,16,14,10,15,21,18,14,18,53,L
1,20,20,18,11,19,14,24,21,20,21,45,M
2,16,14,18,13,11,30,25,22,32,13,47,M
2,17,19,18,14,16,18,20,24,21,19,60,M
2,25,17,16,17,12,28,23,25,14,18,49,S
2,18,15,19,17,23,27,19,19,19,19,58,M
1,16,16,20,18,22,18,15,26,20,19,40,M
1,15,20,28,18,91,17,16,21,21,19,55,M
1,16,28,17,15,21,30,17,25,18,17,50,M
1,23,21,18,12,18,27,18,17,19,20,49,M
2,21,19,17,17,20,21,20,20,18,22,59,M
1,19,17,18,18,24,28,23,22,17,24,47,S
2,24,21,17,16,18,19,19,27,17,19,51,M
2,19,15,20,11,20,18,19,28,17,18,57,M
2,16,20,16,9,25,22,19,19,25,15,60,M
1,21,18,21,12,19,21,15,20,21,20,59,L
1,20,16,28,18,17,23,16,27,23,9,48,M
1,18,15,18,15,18,24,20,25,17,13,42,M
1,25,18,18,15,19,19,23,19,18,21,49,L
2,80,19,16,17,20,20,24,22,19,20,44,M
2,21,21,16,18,22,30,15,20,25,9,45,M
1,16,22,17,14,24,19,22,18,21,13,54,M
2,15,19,17,15,16,20,18,26,21,21,57,M
1,16,16,18,17,15,21,19,19,21,20,60,M
1,20,17,17,19,18,23,15,17,21,18,57,S
1,17,18,18,10,17,24,20,28,20,21,58,L
1,19,15,20,14,22,21,25,27,23,19,45,M
1,28,14,20,18,19,30,24,25,20,20,51,M
1,29,20,18,17,18,35,20,20,16,30,31,M
2,17,22,16,12,18,30,17,27,11,31,30,M
1,19,20,20,14,18,21,20,28,12,21,33,M
1,24,19,16,15,19,21,17,24,12,28,60,M
2,15,21,16,15,20,21,18,17,12,39,45,M
2,14,22,18,17,13,20,19,18,13,27,47,M
2,19,19,18,18,11,23,20,19,14,28,48,M
2,17,21,19,18,11,24,19,20,18,22,40,M
1,18,16,16,19,12,28,19,21,18,21,48,M
1,20,17,17,19,13,20,19,16,17,20,48,S
2,22,17,17,12,13,28,18,19,17,27,60,S
1,23,17,17,12,18,20,20,18,18,17,55,S
1,22,17,22,10,18,21,23,17,16,18,51,S
1,20,18,22,11,14,23,22,17,18,19,52,L
2,19,20,20,11,14,19,20,17,18,30,53,M
2,19,20,21,13,14,18,21,18,17,20,59,M
2,19,21,20,13,13,19,20,18,18,28,50,M
1,27,16,16,14,15,18,19,19,20,27,50,M
1,26,16,14,19,16,19,19,20,21,21,39,M
2,26,14,15,18,17,20,18,20,17,21,57,M
2,19,19,10,16,20,19,21,17,18,22,44,M
2,20,18,16,18,21,30,21,17,18,23,47,L
1,22,15,16,16,21,19,18,18,17,23,57,M
1,19,21,16,19,23,18,19,26,19,14,58,M
1,18,20,17,14,20,17,19,27,16,18,59,M
2,17,21,18,16,20,17,20,26,17,17,51,M
2,17,18,20,19,15,17,20,17,14,19,59,L
1,20,20,18,19,11,18,17,15,11,20,52,M
2,21,19,14,13,15,16,17,21,22,38,60,M
1,17,9,8,8,10,10,11,8,17,19,25,M
1,19,15,13,9,15,15,21,24,17,31,50,M
1,21,17,11,8,20,9,25,21,18,37,60,S
2,26,18,13,11,23,16,23,27,22,46,72,L
1,16,13,17,13,19,16,17,18,18,37,34,M
2,24,21,15,12,16,17,24,21,19,34,38,M
1,19,15,7,8,13,15,17,20,21,37,51,M
1,18,13,15,12,15,15,16,19,13,26,43,M
1,22,16,16,8,9,11,14,20,21,30,50,M
1,20,17,21,14,13,16,22,27,21,41,47,S
1,23,16,14,11,14,14,20,22,23,33,52,M
2,24,18,21,19,21,23,23,27,21,28,59,L
1,15,7,7,6,7,10,10,11,8,17,23,M
1,19,16,15,13,20,16,24,39,21,42,62,M
2,22,18,18,15,17,20,21,26,22,19,38,L
1,25,19,17,22,17,22,19,27,20,27,47,M
1,17,14,17,15,19,16,22,25,21,41,50,M
1,23,15,13,10,13,13,20,22,16,30,56,M
1,20,18,11,9,20,14,21,9,19,41,55,L
2,16,7,8,8,7,8,10,24,8,18,24,M
2,21,19,10,10,22,10,23,24,19,37,60,M
1,24,15,13,9,10,16,21,10,20,36,61,M
1,15,7,11,8,7,15,7,22,7,16,24,M
1,20,18,7,8,10,23,19,20,24,34,38,L
1,21,19,12,16,18,14,26,23,26,29,37,M
1,24,13,18,21,21,24,25,19,19,49,75,M
2,17,11,15,12,13,16,15,22,13,26,40,M
1,19,10,15,13,15,17,21,22,19,33,47,M
1,20,18,12,11,22,13,22,25,20,40,57,L
1,16,8,7,7,8,9,9,10,9,18,23,M
1,20,18,10,9,21,10,24,22,19,38,59,L
2,22,16,12,10,11,14,23,25,19,38,60,M
1,18,14,9,9,10,11,20,23,15,30,53,M
1,20,18,12,11,13,11,22,25,20,40,61,L
1,16,14,12,10,13,19,15,20,11,22,33,M
1,20,16,12,10,14,14,20,25,18,32,51,M
1,26,19,14,12,23,16,24,28,23,46,73,M
1,20,17,14,13,14,15,22,26,21,42,62,S
1,20,16,8,9,14,16,18,21,22,38,52,M
2,23,16,14,11,14,14,21,23,17,33,56,M
1,22,17,12,13,22,12,23,27,20,46,62,S
1,20,17,18,9,16,8,23,13,20,30,40,S
1,16,8,12,8,7,10,11,11,8,17,23,M
2,20,19,13,12,16,17,7,27,19,39,43,M
1,22,19,20,18,20,23,24,27,19,39,38,M
1,20,13,10,8,10,12,23,19,20,34,75,M
1,23,20,16,15,14,16,13,27,23,45,53,M
1,23,16,11,10,14,14,25,25,20,39,53,M
2,23,16,21,14,20,17,22,22,21,30,43,M
1,17,14,18,14,20,17,20,19,19,39,34,M
1,21,18,18,14,18,19,18,26,22,40,46,L
1,19,12,17,13,16,18,23,23,20,38,42,M
1,23,20,14,13,17,16,20,28,20,40,48,M
1,22,17,22,13,22,19,23,20,20,27,47,S
1,25,19,23,18,23,20,22,23,23,29,56,M
1,24,18,21,20,22,24,26,28,18,38,59,L
1,18,12,14,13,14,15,16,18,14,25,42,M
2,19,18,15,213,14,17,16,20,23,36,60,L
1,18,19,16,12,15,16,15,18,25,38,59,M
1,16,22,20,23,14,19,16,17,26,29,62,M
1,17,17,21,15,13,11,14,18,27,34,41,S
1,22,16,10,17,10,13,22,17,21,34,57,M
2,21,14,9,10,17,20,16,18,20,37,49,M
2,17,19,8,11,14,19,14,20,21,30,63,M
1,19,20,13,18,18,18,16,21,19,23,49,M
2,16,23,18,12,50,14,22,12,18,29,44,M
2,14,10,12,9,49,17,20,25,17,13,54,M
1,12,14,11,18,36,17,21,23,16,27,64,M
1,15,19,16,10,26,16,19,24,22,28,69,M
1,13,18,17,23,19,13,20,21,19,30,67,L
1,18,17,15,24,60,14,14,20,23,29,57,S
2,22,14,11,14,10,19,15,19,21,31,68,M
2,25,16,12,13,20,13,21,17,20,29,69,M
1,16,15,14,14,21,19,15,17,22,24,48,M
1,23,20,10,9,18,20,16,16,19,20,58,M
